region	cluster
G_precentral	Sensorimotor
S_precentral-sup-part	Sensorimotor
S_precentral-inf-part	Sensorimotor
S_central	Sensorimotor
G_postcentral	Sensorimotor
S_postcentral	Sensorimotor
G_and_S_paracentral	Sensorimotor
G_and_S_subcentral	Sensorimotor
S_interm_prim-Jensen	Sensorimotor
G_occipital_sup	Visual
G_occipital_middle	Visual
G_cuneus	Visual
S_calcarine	Visual
S_oc_sup_and_transversal	Visual
S_oc_middle_and_Lunatus	Visual
Pole_occipital	Visual
G_and_S_occipital_inf	Visual
S_occipital_ant	Visual
S_parieto_occipital	Visual
G_oc-temp_lat-fusifor	Visual
G_oc-temp_med-Lingual	Visual
S_oc-temp_lat	Visual
S_oc-temp_med_and_Lingual	Visual
S_collat_transv_ant	Visual
S_collat_transv_post	Visual
G_temp_sup-G_T_transv	Auditory_Language
G_temp_sup-Lateral	Auditory_Language
G_temp_sup-Plan_polar	Auditory_Language
G_temp_sup-Plan_tempo	Auditory_Language
S_temporal_sup	Auditory_Language
S_temporal_transverse	Auditory_Language
Lat_Fis-ant-Horizont	Auditory_Language
Lat_Fis-ant-Vertical	Auditory_Language
Lat_Fis-post	Auditory_Language
G_temporal_middle	Temporal_Association
G_temporal_inf	Temporal_Association
S_temporal_inf	Temporal_Association
Pole_temporal	Temporal_Association
G_front_sup	Prefrontal
G_front_middle	Prefrontal
G_front_inf-Opercular	Prefrontal
G_front_inf-Orbital	Prefrontal
G_front_inf-Triangul	Prefrontal
S_front_sup	Prefrontal
S_front_middle	Prefrontal
S_front_inf	Prefrontal
G_and_S_transv_frontopol	Prefrontal
G_and_S_frontomargin	Prefrontal
G_orbital	Orbitofrontal
G_rectus	Orbitofrontal
G_subcallosal	Orbitofrontal
S_orbital-H_Shaped	Orbitofrontal
S_orbital_lateral	Orbitofrontal
S_orbital_med-olfact	Orbitofrontal
S_suborbital	Orbitofrontal
G_and_S_cingul-Ant	Cingulate_Limbic
G_and_S_cingul-Mid-Ant	Cingulate_Limbic
G_and_S_cingul-Mid-Post	Cingulate_Limbic
G_cingul-Post-dorsal	Cingulate_Limbic
G_cingul-Post-ventral	Cingulate_Limbic
S_pericallosal	Cingulate_Limbic
S_cingul-Marginalis	Cingulate_Limbic
S_subparietal	Cingulate_Limbic
G_oc-temp_med-Parahip	Cingulate_Limbic
G_Ins_lg_and_S_cent_ins	Insula
G_insular_short	Insula
S_circular_insula_ant	Insula
S_circular_insula_inf	Insula
S_circular_insula_sup	Insula
G_parietal_sup	Parietal_Association
G_pariet_inf-Angular	Parietal_Association
G_pariet_inf-Supramar	Parietal_Association
G_precuneus	Parietal_Association
S_intrapariet_and_P_trans	Parietal_Association
