grid_id	hemisphere	x	y	subfield	n_observations	agreement_pct
lh_x0_y0	lh	0	0	presubiculum	269	91.8
lh_x0_y1	lh	0	1	presubiculum	269	94.8
lh_x0_y2	lh	0	2	presubiculum	269	95.2
lh_x0_y3	lh	0	3	presubiculum	269	95.9
lh_x0_y4	lh	0	4	presubiculum	269	95.5
lh_x0_y5	lh	0	5	presubiculum	269	95.2
lh_x0_y6	lh	0	6	presubiculum	269	96.7
lh_x0_y7	lh	0	7	presubiculum	269	96.3
lh_x0_y8	lh	0	8	presubiculum	269	96.7
lh_x0_y9	lh	0	9	presubiculum	269	95.9
lh_x0_y10	lh	0	10	presubiculum	269	94.4
lh_x0_y11	lh	0	11	presubiculum	269	92.9
lh_x0_y12	lh	0	12	presubiculum	269	94.8
lh_x0_y13	lh	0	13	presubiculum	269	95.5
lh_x0_y14	lh	0	14	presubiculum	269	93.3
lh_x0_y15	lh	0	15	presubiculum	269	90.3
lh_x0_y16	lh	0	16	presubiculum	269	89.6
lh_x0_y17	lh	0	17	presubiculum	269	85.9
lh_x0_y18	lh	0	18	presubiculum	269	88.5
lh_x0_y19	lh	0	19	presubiculum	269	94.4
lh_x0_y20	lh	0	20	presubiculum	269	98.5
lh_x1_y0	lh	1	0	presubiculum	274	96.0
lh_x1_y1	lh	1	1	presubiculum	274	98.2
lh_x1_y2	lh	1	2	presubiculum	274	99.3
lh_x1_y3	lh	1	3	presubiculum	274	98.5
lh_x1_y4	lh	1	4	presubiculum	274	97.1
lh_x1_y5	lh	1	5	presubiculum	274	98.5
lh_x1_y6	lh	1	6	presubiculum	274	99.3
lh_x1_y7	lh	1	7	presubiculum	274	99.3
lh_x1_y8	lh	1	8	presubiculum	274	97.8
lh_x1_y9	lh	1	9	presubiculum	274	98.9
lh_x1_y10	lh	1	10	presubiculum	274	97.4
lh_x1_y11	lh	1	11	presubiculum	274	98.5
lh_x1_y12	lh	1	12	presubiculum	274	98.9
lh_x1_y13	lh	1	13	presubiculum	274	98.2
lh_x1_y14	lh	1	14	presubiculum	274	98.5
lh_x1_y15	lh	1	15	presubiculum	274	98.2
lh_x1_y16	lh	1	16	presubiculum	274	98.2
lh_x1_y17	lh	1	17	presubiculum	274	98.5
lh_x1_y18	lh	1	18	presubiculum	274	97.8
lh_x1_y19	lh	1	19	presubiculum	274	100.0
lh_x1_y20	lh	1	20	presubiculum	274	100.0
lh_x2_y0	lh	2	0	presubiculum	274	97.1
lh_x2_y1	lh	2	1	presubiculum	274	99.3
lh_x2_y2	lh	2	2	presubiculum	274	98.9
lh_x2_y3	lh	2	3	presubiculum	274	99.3
lh_x2_y4	lh	2	4	presubiculum	274	99.3
lh_x2_y5	lh	2	5	presubiculum	274	99.6
lh_x2_y6	lh	2	6	presubiculum	274	99.3
lh_x2_y7	lh	2	7	presubiculum	274	99.3
lh_x2_y8	lh	2	8	presubiculum	274	99.3
lh_x2_y9	lh	2	9	presubiculum	274	99.3
lh_x2_y10	lh	2	10	presubiculum	274	99.3
lh_x2_y11	lh	2	11	presubiculum	274	98.9
lh_x2_y12	lh	2	12	presubiculum	274	99.6
lh_x2_y13	lh	2	13	presubiculum	274	98.9
lh_x2_y14	lh	2	14	presubiculum	274	99.3
lh_x2_y15	lh	2	15	presubiculum	274	100.0
lh_x2_y16	lh	2	16	presubiculum	274	100.0
lh_x2_y17	lh	2	17	presubiculum	274	99.6
lh_x2_y18	lh	2	18	presubiculum	274	99.6
lh_x2_y19	lh	2	19	presubiculum	274	100.0
lh_x2_y20	lh	2	20	presubiculum	274	100.0
lh_x3_y0	lh	3	0	presubiculum	274	97.8
lh_x3_y1	lh	3	1	presubiculum	274	98.9
lh_x3_y2	lh	3	2	presubiculum	274	99.3
lh_x3_y3	lh	3	3	presubiculum	274	99.6
lh_x3_y4	lh	3	4	presubiculum	274	99.6
lh_x3_y5	lh	3	5	presubiculum	274	99.6
lh_x3_y6	lh	3	6	presubiculum	274	99.6
lh_x3_y7	lh	3	7	presubiculum	274	99.6
lh_x3_y8	lh	3	8	presubiculum	274	99.6
lh_x3_y9	lh	3	9	presubiculum	274	99.3
lh_x3_y10	lh	3	10	presubiculum	274	99.6
lh_x3_y11	lh	3	11	presubiculum	274	99.6
lh_x3_y12	lh	3	12	presubiculum	274	99.3
lh_x3_y13	lh	3	13	presubiculum	274	99.3
lh_x3_y14	lh	3	14	presubiculum	274	99.6
lh_x3_y15	lh	3	15	presubiculum	274	99.6
lh_x3_y16	lh	3	16	presubiculum	274	100.0
lh_x3_y17	lh	3	17	presubiculum	274	100.0
lh_x3_y18	lh	3	18	presubiculum	274	100.0
lh_x3_y19	lh	3	19	presubiculum	274	100.0
lh_x3_y20	lh	3	20	presubiculum	274	100.0
lh_x4_y0	lh	4	0	presubiculum	274	94.5
lh_x4_y1	lh	4	1	presubiculum	274	97.4
lh_x4_y2	lh	4	2	presubiculum	274	98.2
lh_x4_y3	lh	4	3	presubiculum	274	98.9
lh_x4_y4	lh	4	4	presubiculum	274	99.3
lh_x4_y5	lh	4	5	presubiculum	274	99.6
lh_x4_y6	lh	4	6	presubiculum	274	99.6
lh_x4_y7	lh	4	7	presubiculum	274	99.6
lh_x4_y8	lh	4	8	presubiculum	274	99.6
lh_x4_y9	lh	4	9	presubiculum	274	99.3
lh_x4_y10	lh	4	10	presubiculum	274	99.3
lh_x4_y11	lh	4	11	presubiculum	274	99.6
lh_x4_y12	lh	4	12	presubiculum	274	99.6
lh_x4_y13	lh	4	13	presubiculum	274	99.6
lh_x4_y14	lh	4	14	presubiculum	274	99.6
lh_x4_y15	lh	4	15	presubiculum	274	99.6
lh_x4_y16	lh	4	16	presubiculum	274	99.6
lh_x4_y17	lh	4	17	presubiculum	274	100.0
lh_x4_y18	lh	4	18	presubiculum	274	100.0
lh_x4_y19	lh	4	19	presubiculum	274	99.6
lh_x4_y20	lh	4	20	presubiculum	274	100.0
lh_x5_y0	lh	5	0	presubiculum	274	77.0
lh_x5_y1	lh	5	1	presubiculum	274	87.6
lh_x5_y2	lh	5	2	presubiculum	274	93.4
lh_x5_y3	lh	5	3	presubiculum	274	94.9
lh_x5_y4	lh	5	4	presubiculum	274	98.2
lh_x5_y5	lh	5	5	presubiculum	274	98.5
lh_x5_y6	lh	5	6	presubiculum	274	99.3
lh_x5_y7	lh	5	7	presubiculum	274	99.6
lh_x5_y8	lh	5	8	presubiculum	274	99.3
lh_x5_y9	lh	5	9	presubiculum	274	99.3
lh_x5_y10	lh	5	10	presubiculum	274	99.3
lh_x5_y11	lh	5	11	presubiculum	274	99.6
lh_x5_y12	lh	5	12	presubiculum	274	99.3
lh_x5_y13	lh	5	13	presubiculum	274	99.6
lh_x5_y14	lh	5	14	presubiculum	274	99.6
lh_x5_y15	lh	5	15	presubiculum	274	99.6
lh_x5_y16	lh	5	16	presubiculum	274	99.6
lh_x5_y17	lh	5	17	presubiculum	274	99.3
lh_x5_y18	lh	5	18	presubiculum	274	100.0
lh_x5_y19	lh	5	19	presubiculum	274	100.0
lh_x5_y20	lh	5	20	presubiculum	274	100.0
lh_x6_y1	lh	6	1	presubiculum	274	63.9
lh_x6_y2	lh	6	2	presubiculum	274	71.9
lh_x6_y3	lh	6	3	presubiculum	274	78.1
lh_x6_y4	lh	6	4	presubiculum	274	85.0
lh_x6_y5	lh	6	5	presubiculum	274	89.4
lh_x6_y6	lh	6	6	presubiculum	274	94.2
lh_x6_y7	lh	6	7	presubiculum	274	96.0
lh_x6_y8	lh	6	8	presubiculum	274	96.4
lh_x6_y9	lh	6	9	presubiculum	274	94.9
lh_x6_y10	lh	6	10	presubiculum	274	95.3
lh_x6_y11	lh	6	11	presubiculum	274	94.9
lh_x6_y12	lh	6	12	presubiculum	274	94.5
lh_x6_y13	lh	6	13	presubiculum	274	94.9
lh_x6_y14	lh	6	14	presubiculum	274	96.0
lh_x6_y15	lh	6	15	presubiculum	274	96.4
lh_x6_y16	lh	6	16	presubiculum	274	96.7
lh_x6_y17	lh	6	17	presubiculum	274	97.1
lh_x6_y18	lh	6	18	presubiculum	274	97.4
lh_x6_y19	lh	6	19	presubiculum	274	96.7
lh_x6_y20	lh	6	20	presubiculum	274	97.8
lh_x7_y0	lh	7	0	subiculum	274	73.4
lh_x7_y1	lh	7	1	subiculum	274	62.4
lh_x7_y5	lh	7	5	presubiculum	274	68.6
lh_x7_y6	lh	7	6	presubiculum	274	79.6
lh_x7_y7	lh	7	7	presubiculum	274	82.5
lh_x7_y8	lh	7	8	presubiculum	274	78.8
lh_x7_y9	lh	7	9	presubiculum	274	77.0
lh_x7_y10	lh	7	10	presubiculum	274	79.9
lh_x7_y11	lh	7	11	presubiculum	274	78.5
lh_x7_y12	lh	7	12	presubiculum	274	74.5
lh_x7_y13	lh	7	13	presubiculum	274	77.7
lh_x7_y14	lh	7	14	presubiculum	274	82.8
lh_x7_y15	lh	7	15	presubiculum	274	83.6
lh_x7_y16	lh	7	16	presubiculum	274	80.3
lh_x7_y17	lh	7	17	presubiculum	274	82.1
lh_x7_y18	lh	7	18	presubiculum	274	80.7
lh_x7_y19	lh	7	19	presubiculum	274	82.5
lh_x7_y20	lh	7	20	presubiculum	274	85.8
lh_x8_y0	lh	8	0	subiculum	274	90.9
lh_x8_y1	lh	8	1	subiculum	274	83.2
lh_x8_y2	lh	8	2	subiculum	274	79.6
lh_x8_y3	lh	8	3	subiculum	274	76.3
lh_x8_y4	lh	8	4	subiculum	274	70.4
lh_x8_y5	lh	8	5	subiculum	274	61.7
lh_x8_y17	lh	8	17	presubiculum	274	60.9
lh_x8_y18	lh	8	18	presubiculum	274	60.9
lh_x8_y19	lh	8	19	presubiculum	274	60.9
lh_x8_y20	lh	8	20	presubiculum	274	67.5
lh_x9_y0	lh	9	0	subiculum	274	96.4
lh_x9_y1	lh	9	1	subiculum	274	94.9
lh_x9_y2	lh	9	2	subiculum	274	92.3
lh_x9_y3	lh	9	3	subiculum	274	90.5
lh_x9_y4	lh	9	4	subiculum	274	88.7
lh_x9_y5	lh	9	5	subiculum	274	81.4
lh_x9_y6	lh	9	6	subiculum	274	75.5
