short_id	long_id	match_type
sub-001	sub-1292001	unique_last3
sub-002	sub-1293002	unique_last3
sub-003	sub-1291003	unique_last3
sub-004	sub-1293004	unique_last3
sub-005	sub-1291005	unique_last3
sub-006	sub-1291006	unique_last3
sub-007	sub-1292007	unique_last3
sub-008	sub-1292008	unique_last3
sub-009	sub-1292009	unique_last3
sub-010	sub-1293010	unique_last3
sub-011	sub-1291011	unique_last3
sub-012	sub-1293012	unique_last3
sub-013	sub-1291013	unique_last3
sub-014	sub-1291014	unique_last3
sub-015	sub-1292015	unique_last3
sub-016	sub-1291016	unique_last3
sub-017	sub-1293017	unique_last3
sub-018	sub-1292018	unique_last3
sub-019	sub-1291019	unique_last3
sub-020	sub-1291020	unique_last3
sub-021	sub-1291021	unique_last3
sub-022	sub-1292022	unique_last3
sub-023	sub-1293023	unique_last3
sub-025	sub-1293025	unique_last3
sub-026	sub-1293026	unique_last3
sub-027	sub-1292027	unique_last3
sub-028	sub-1292028	unique_last3
sub-029	sub-1291029	unique_last3
sub-031	sub-1293031	unique_last3
sub-032	sub-1292032	unique_last3
sub-033	sub-1293033	unique_last3
sub-034	sub-1293034	unique_last3
sub-035	sub-1291035	unique_last3
sub-036	sub-1292036	unique_last3
sub-037	sub-1292037	unique_last3
sub-038	sub-1292038	unique_last3
sub-039	sub-1292039	unique_last3
sub-040	sub-1293040	unique_last3
sub-041	sub-1291041	unique_last3
sub-042	sub-1293042	unique_last3
sub-043	sub-1291043	unique_last3
sub-044	sub-1293044	unique_last3
sub-045	sub-1292045	unique_last3
sub-047	sub-1291047	unique_last3
sub-048	sub-1291048	unique_last3
sub-049	sub-1293049	unique_last3
sub-050	sub-1292050	unique_last3
sub-052	sub-1292052	unique_last3
sub-053	sub-1293053	unique_last3
sub-054	sub-1293054	unique_last3
sub-055	sub-1293055	unique_last3
sub-056	sub-1291056	unique_last3
sub-057	sub-1292057	unique_last3
sub-058	sub-1293058	unique_last3
sub-059	sub-1292059	unique_last3
sub-060	sub-1292060	unique_last3
sub-061	sub-1292061	unique_last3
sub-062	sub-1293062	unique_last3
sub-063	sub-1291063	unique_last3
sub-065	sub-1293065	unique_last3
sub-066	sub-1292066	unique_last3
sub-067	sub-1292067	unique_last3
sub-068	sub-1291068	unique_last3
sub-069	sub-1292069	unique_last3
sub-070	sub-1291070	unique_last3
sub-071	sub-1291071	unique_last3
sub-072		unmapped_no_candidate
sub-073	sub-1293073	unique_last3
sub-074	sub-1293074	unique_last3
sub-075	sub-1293075	unique_last3
sub-076	sub-1291076	unique_last3
sub-077	sub-1291077	unique_last3
sub-078	sub-1291078	unique_last3
sub-079	sub-1291079	unique_last3
sub-080	sub-1293080	unique_last3
sub-081	sub-1293081	unique_last3
